obsid,lat_IND,lon_IND,roi_name,minimal_distance,lat_WORD,lon_WORD,time,MY
ESP_029037_0935,-86.404,99.1389,Manhattan_Classic,1.8426968734978855,-86.39,99.0,2012-10-06 01:23:37,31
ESP_029934_0935,-86.3981,99.1016,Manhattan_Classic,1.1523241131940474,-86.39,99.0,2012-12-14 22:55:10,31
ESP_029301_0935,-86.4003,99.1299,Manhattan_Classic,1.4682003643390489,-86.39,99.0,2012-10-26 15:05:51,31
ESP_028931_0935,-86.4004,99.0473,Manhattan_Classic,1.2081316599857428,-86.39,99.0,2012-09-27 19:09:50,31
ESP_029090_0935,-86.3975,99.08,Manhattan_Classic,1.0087476808100884,-86.39,99.0,2012-10-10 04:30:31,31
ESP_037964_0935,-86.4126,98.6474,Manhattan_Classic,3.532997773265615,-86.39,99.0,2014-09-01 16:16:16,32
ESP_038149_0935,-86.3943,98.9069,Manhattan_Classic,0.8116850752970242,-86.39,99.0,2014-09-16 02:11:08,32
ESP_038215_0935,-86.3991,98.9963,Manhattan_Classic,1.0167067787320503,-86.39,99.0,2014-09-21 05:35:22,32
ESP_038492_0935,-86.4007,99.0334,Manhattan_Classic,1.2178759334190328,-86.39,99.0,2014-10-12 19:23:20,32
ESP_039824_0935,-86.4031,99.0608,Manhattan_Classic,1.5241146833237895,-86.39,99.0,2015-01-24 13:48:36,32
ESP_039468_0935,-86.4088,99.1725,Manhattan_Classic,2.423438482108855,-86.39,99.0,2014-12-27 20:07:24,32
ESP_039547_0935,-86.3869,98.8207,Manhattan_Classic,1.3081527795352812,-86.39,99.0,2015-01-02 23:51:21,32
ESP_040246_0935,-86.4048,99.0961,Manhattan_Classic,1.7853056152717217,-86.39,99.0,2015-02-26 11:01:29,32
ESP_038822_0935,-86.4032,99.088,Manhattan_Classic,1.5984913316583367,-86.39,99.0,2014-11-07 12:10:13,32
ESP_039969_0935,-86.4074,99.1273,Manhattan_Classic,2.138791316938726,-86.39,99.0,2015-02-04 20:58:45,32
ESP_012008_0975,-82.1867,225.231,Wellington,1.557929662022388,-82.2,225.2,2009-02-17 03:46:48,29
ESP_011296_0975,-82.1965,225.253,Wellington,0.8935536052282669,-82.2,225.2,2008-12-23 16:15:26,29
PSP_001920_1110,-68.9785,241.786,unknown,1531.4369857495783,-82.2,225.2,2006-12-24 01:01:22,28
ESP_012436_0980,-81.9405,60.4513,Albany,1.4216140308553435,-81.93,60.4,2009-03-22 12:10:02,29
ESP_012291_0980,-81.9366,60.4442,Albany,1.0114771820340103,-81.93,60.4,2009-03-11 05:00:23,29
ESP_012647_0980,-81.9383,60.4502,Albany,1.2157136622007607,-81.93,60.4,2009-04-07 22:46:33,29
ESP_012304_0980,-81.94,60.4432,Albany,1.3058583311617622,-81.93,60.4,2009-03-12 05:19:04,29
ESP_012225_0980,-81.9461,60.4644,Albany,2.061556156629617,-81.93,60.4,2009-03-06 01:35:09,29
